[00:01:42] Scene state -> Parsing | Parsing and preparing DamagedHelmet.glb...
[00:01:42] Scene state -> Ready | Loaded DamagedHelmet.glb
[00:29:45] Scene state -> Parsing | Parsing and preparing DamagedHelmet.glb...
[00:29:45] Scene state -> Ready | Loaded DamagedHelmet.glb
[00:29:57] Scene state -> Parsing | Parsing and preparing garden_input.ply...
[00:29:58] Scene state -> Ready | Loaded garden_input.ply
[00:30:12] Scene state -> Parsing | Parsing and preparing gaussian_schema_smoke.ply...
[00:30:12] Scene state -> Ready | Loaded gaussian_schema_smoke.ply
[00:30:24] Scene state -> Parsing | Parsing and preparing garden_input.ply...
[00:30:26] Scene state -> Ready | Loaded garden_input.ply
[00:36:58] Scene state -> Parsing | Parsing and preparing DamagedHelmet.glb...
[00:36:58] Scene state -> Ready | Loaded DamagedHelmet.glb
[00:37:42] Scene state -> Parsing | Parsing and preparing garden_input.ply...
[00:37:44] Scene state -> Ready | Loaded garden_input.ply
[00:38:43] Scene state -> Parsing | Parsing and preparing garden_input.ply...
[00:38:44] Scene state -> Ready | Loaded garden_input.ply
[00:38:55] Scene state -> Parsing | Parsing and preparing gaussian_schema_smoke.ply...
[00:38:55] Scene state -> Ready | Loaded gaussian_schema_smoke.ply
[01:57:07] Scene state -> Parsing | Parsing and preparing DamagedHelmet.glb...
[01:57:07] Scene state -> Ready | Loaded DamagedHelmet.glb
[01:57:27] Scene state -> Parsing | Parsing and preparing garden_input.ply...
[01:57:29] Scene state -> Ready | Loaded garden_input.ply
[01:58:02] Scene state -> Parsing | Parsing and preparing gaussian_schema_smoke.ply...
[01:58:02] Scene state -> Ready | Loaded gaussian_schema_smoke.ply
